no,homo_HIL,thickness_HIL,lumo_HTL1,homo_HTL1,thickness_HTL1,lumo_HTL2,homo_HTL2,thickness_HTL2,lumo_HTL3,homo_HTL3,thickness_HTL3,total_HTL_thickness,triplet_HTL,lumo_EML,homo_EML,triplet_HOST,thickness_EML,lumo_dopant,homo_dopant,triplet_dopant,dopant_percentage,triplet_ETL,total_ETL_thickness,lumo_ETL1,homo_ETL1,thickness_ETL1,lumo_ETL2,homo_ETL2,thickness_ETL2,cathode_workfunction,thickness_cathode1,cd/A
153,5.2,60,2.5,5.2,20,2.4,5.9,10,2.4,5.9,0,30,3,2.49,6.03,2.75,30,2.98,5.72,2.74,5,3.36,25,2.5,6.8,0,2.5,6.8,25,3.5,1,21.37
154,5.2,60,2.5,5.2,20,2.4,5.9,10,2.4,5.9,0,30,3,2.49,6.03,2.75,30,2.98,5.72,2.74,1,3.36,25,2.5,6.8,0,2.5,6.8,25,3.5,1,21.07
155,5.2,60,2.5,5.2,20,2.4,5.9,10,2.4,5.9,0,30,3,2.49,6.03,2.75,30,2.98,5.72,2.74,10,3.36,25,2.5,6.8,0,2.5,6.8,25,3.5,1,21.07
156,5.3,3,2.5,5.2,40,2.4,5.7,10,2.4,5.7,0,50,2.82,2.9,6.1,2.64,20,3,5.7,2.7,8,2.6,35,2.8,6.2,0,2.8,6.2,35,3.5,1,19
157,5.3,3,2.5,5.2,40,2.4,5.7,10,2.4,5.7,0,50,2.82,2.7,6.1,2.7,20,3,5.7,2.7,8,2.6,35,2.8,6.2,0,2.8,6.2,35,3.5,1,21
158,5.3,3,2.5,5.2,40,2.4,5.7,10,2.4,5.7,0,50,2.82,2.4,5.9,3,20,3,5.7,2.7,8,2.6,35,2.8,6.2,0,2.8,6.2,35,3.5,1,14.3
159,5.2,40,2,5.5,20,2,5.5,0,2,5.5,0,20,2.87,2.17,5.69,2.76,20,3,5.7,2.7,5,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1,27.3
160,5.2,40,2,5.5,20,2,5.5,0,2,5.5,0,20,2.87,2.22,5.62,2.78,20,3,5.7,2.7,5,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1,30.6
161,5.2,40,2,5.5,20,2,5.5,0,2,5.5,0,20,2.87,2.13,5.64,2.83,20,3,5.7,2.7,5,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1,30.9
162,5.2,40,2,5.5,20,2,5.5,0,2,5.5,0,20,2.87,2.16,5.71,3.02,20,3,5.7,2.7,5,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1,33.2
163,5.2,40,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.13,5.67,3,40,3,5.7,2.7,10,2.75,40,2.73,6.68,5,2.73,6.68,35,3.5,1,18
164,5.2,40,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,5.8,2.2,2.7,40,3,5.7,2.7,10,2.75,40,2.73,6.68,5,2.73,6.68,35,3.5,1,12
165,5.2,40,5.8,2.2,5,5.8,2.2,0,5.8,2.2,0,5,2.6,2.13,5.67,3,40,3,5.7,2.7,10,2.75,40,2.73,6.68,5,2.73,6.68,35,3.5,1,18
166,5.2,40,2,5.5,20,2,5.5,0,2,5.5,0,20,2.87,2.16,5.69,3.02,20,3,5.7,2.7,10,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1,33.2
167,9.5,7,2,5.5,75,2,5.5,0,2,5.5,0,75,2.87,2.5,6.1,2.9,25,2.7,5.6,2.74,10,2.75,30,2.73,6.68,0,2.73,6.68,30,3.5,1.5,8.61
168,9.5,7,2,5.5,75,2,5.5,0,2,5.5,0,75,2.87,2.5,6.1,2.9,25,2.72,5.7,2.68,10,2.75,30,2.73,6.68,0,2.73,6.68,30,3.5,1.5,8.79
169,5.2,25,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2,6.7,2.64,35,3,5.7,2.7,10,2.6,35,2.73,6.68,0,2.73,6.68,35,2.8,10,6.2
170,5.2,25,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.4,6.7,2.72,35,3,5.7,2.7,10,2.6,35,2.73,6.68,0,2.73,6.68,35,2.8,10,24.5
171,5.2,25,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.4,6.7,3.1,35,3,5.7,2.7,10,2.6,35,2.73,6.68,0,2.73,6.68,35,2.8,10,11.5
172,5.2,40,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.08,5.68,3.5,50,3,5.7,2.7,10,2.75,35,2.73,6.68,5,2.73,6.68,30,3.5,1,22
173,5.2,40,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.08,5.66,3.5,50,3,5.7,2.7,10,2.75,35,2.73,6.68,5,2.73,6.68,30,3.5,1,22
174,5.2,40,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.11,5.69,3.5,50,3,5.7,2.7,10,2.75,35,2.73,6.68,5,2.73,6.68,30,3.5,1,23
175,5.2,40,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.07,5.65,3.5,50,3,5.7,2.7,10,2.75,35,2.73,6.68,5,2.73,6.68,30,3.5,1,27.5
