Article title,anode,HIL,lumo_HIL,homo_HIL,thickness_HIL,HTL1,lumo_HTL1,homo_HTL1,thickness_HTL1,HTL2,lumo_HTL2,homo_HTL2,thickness_HTL2,HTL3,lumo_HTL3,homo_HTL3,thickness_HTL3,total_HTL_thickness,triplet_HTL,EML,lumo_EML,homo_EML,triplet_HOST,thickness_EML,dopant1,lumo_dopant,homo_dopant,triplet_dopant,dopant_percentage,triplet_ETL,total_ETL_thickness,ETL1,lumo_ETL1,homo_ETL1,thickness_ETL1,ETL2,lumo_ETL2,homo_ETL2,thickness_ETL2,cathode_1,cathode_workfunction,thickness_cathode1,cathode_2,thickness_cathode2,"Turn on Voltage, V at 1 cdm-2","Power efficiency, Lm/W at 1000 cdm-2","Quantum efficiency, %",cd/A
"Blue phosphorescent organic light-emitting devices based on carbazole/thioxanthene-S,S-dioxide with a high glass transition temperature",ITO,HAT-CN,5.7,9.5,5,TAPC,2,5.5,40,,,,,,,,,40,2.87,mCP,2.4,5.9,3,25,FIrpic,3,5.7,2.7,8,2.75,30,,,,,TmPyPB,2.73,6.68,30,LiF,3.5,1,Al,100,3.5,6.1,7.7,9.50
"Blue-emitting Ir(III) complexes using fluorinated bipyridyl as main ligand and 1,2,4-triazol as ancillary ligand: syntheses, photophysical properties and performances in devices",ITO,MoO3,2.3,5.3,3,TCTA,2.4,5.7,25,,,,,,,,,25,2.94,mCP,2.4,5.9,3,15,"(F2,4ppy)2Ir(tfmptz)",2.6,5.5,2.74,4.5,2.6,35,,,,,TPBi,2.8,6.2,35,LiF,3.5,1,Al,200,4,3,3.45,4.50
"Blue-emitting Ir(III) complexes using fluorinated bipyridyl as main ligand and 1,2,4-triazol as ancillary ligand: syntheses, photophysical properties and performances in devices",ITO,,,,,NPB,2.5,5.2,30,TCTA,2.4,5.7,10,,,,,40,2.82,CBP,2.7,5.8,2.6,30,"(F3,4,5ppy)2Ir(tfmptz)",2.7,5.5,2.67,8,2.6,35,,,,,TPBi,2.8,6.2,35,LiF,3.5,1,Al,200,3.7,4.5,5.2,8.00
"Colour stability of Blue–Green and white phosphorescent organic light-emitting diode employing a 9-(2-(4,5-diphenyl-4H-1,2,4-triazol-3-yl)phenyl)-9H-carbazole host",ITO,,,,,NPB,2.5,5.4,50,mCP,2.4,5.9,10,,,,,60,3,CbzTAZ,2.3,5.9,3.1,30,FIrpic,3,5.7,2.7,9,2.7,45,,,,,TAZ,2.7,6.3,45,LiF,3.5,1,Al,100,5,17.5,17.8,37.80
Comparison of Bipolar Hosts and Mixed-Hosts as Host Structures for DeepBlue Phosphorescent Organic Light Emitting Diodes,ITO,DNTPD,2.1,5.2,60,NPB,2.5,5.2,5,mCP,2.4,5.9,10,,,,,15,3,DFCzPO,2.56,6.08,3,30,FCNIrpic,2.98,5.72,2.74,3,3.36,20,,,,,TSPO1,2.5,6.8,20,LiF,3.5,1,Al,200,3.7,10,17.5,21.50
Comparison of Bipolar Hosts and Mixed-Hosts as Host Structures for DeepBlue Phosphorescent Organic Light Emitting Diodes,ITO,DNTPD,2.1,5.2,60,NPB,2.5,5.2,5,mCP,2.4,5.9,10,,,,,15,3,DFCz:DFPO,2.48,6.09,3.04,30,FCNIrpic,2.98,5.72,2.74,3,3.36,20,,,,,TSPO1,2.5,6.8,20,LiF,3.5,1,Al,200,3.7,9,16.7,19.00
"Construction of thermally stable 3,6-disubstituted spiro-fluorene derivatives as host materials for blue phosphorescent organic light-emitting diodes",ITO,MoO3,2.3,5.3,10,NPB,2.5,5.2,70,mCP,2.4,5.9,5,,,,,75,3,BSBDC,2.28,5.76,2.81,40,FIrpic,3,5.7,2.7,7,2.75,40,,,,,TmPyPB,2.73,6.68,40,LiF,3.5,1,Al,150,3.2,31.5,17.05,31.70
"Construction of thermally stable 3,6-disubstituted spiro-fluorene derivatives as host materials for blue phosphorescent organic light-emitting diodes",ITO,MoO3,2.3,5.3,10,NPB,2.5,5.2,70,mCP,2.4,5.9,5,,,,,75,3,BSBDP,2.38,6.16,2.87,40,FIrpic,3,5.7,2.7,7,2.75,40,,,,,TmPyPB,2.73,6.68,40,LiF,3.5,1,Al,150,2.8,30.3,16.25,30.10
"Construction of thermally stable 3,6-disubstituted spiro-fluorene derivatives as host materials for blue phosphorescent organic light-emitting diodes",ITO,MoO3,2.3,5.3,10,NPB,2.5,5.2,70,mCP,2.4,5.9,5,,,,,75,3,BBDC,2.32,5.8,2.81,40,FIrpic,3,5.7,2.7,7,2.75,40,,,,,TmPyPB,2.73,6.68,40,LiF,3.5,1,Al,150,3.5,5.2,11.45,20.50
"Construction of thermally stable 3,6-disubstituted spiro-fluorene derivatives as host materials for blue phosphorescent organic light-emitting diodes",ITO,MoO3,2.3,5.3,10,NPB,2.5,5.2,70,mCP,2.4,5.9,5,,,,,75,3,BBDP,2.35,6.23,2.87,40,FIrpic,3,5.7,2.7,7,2.75,40,,,,,TmPyPB,2.73,6.68,40,LiF,3.5,1,Al,150,3.3,12.5,15.25,28.10
Controlling singlet–triplet splitting in carbazole–oxadiazole based bipolar phosphorescent host materials,ITO,MoO3,2.3,5.3,10,NPB,2.5,5.2,70,TCTA,2.4,5.7,5,,,,,75,2.82,o-PCzPOXD,2.12,5.64,2.62,10,FIrpic,3,5.7,2.7,12,2.6,30,,,,,TPBi,2.8,6.2,30,LiF,3.5,1,Al,100,3.2,10.8,8.7,20.50
Controlling singlet–triplet splitting in carbazole–oxadiazole based bipolar phosphorescent host materials,ITO,MoO3,2.3,5.3,10,NPB,2.5,5.2,70,TCTA,2.4,5.7,5,,,,,75,2.82,o-2MPCzPOXD,2.07,5.6,2.66,10,FIrpic,3,5.7,2.7,12,2.6,30,,,,,TPBi,2.8,6.2,30,LiF,3.5,1,Al,100,3,18.8,13.6,28.70
Controlling singlet–triplet splitting in carbazole–oxadiazole based bipolar phosphorescent host materials,ITO,MoO3,2.3,5.3,10,NPB,2.5,5.2,70,TCTA,2.4,5.7,5,,,,,75,2.82,o-3MPCzPOXD,2.09,5.66,2.73,10,FIrpic,3,5.7,2.7,12,2.6,30,,,,,TPBi,2.8,6.2,30,LiF,3.5,1,Al,100,3,14.3,10.1,22.80
Controlling singlet–triplet splitting in carbazole–oxadiazole based bipolar phosphorescent host materials,ITO,MoO3,2.3,5.3,10,NPB,2.5,5.2,70,TCTA,2.4,5.7,5,,,,,75,2.82,o-2MPCzPOXD,2.07,5.6,2.66,10,FIr6,3.1,6.1,2.72,12,2.75,35,,,,,TmPyPB,2.73,6.68,35,LiF,3.5,1,Al,100,3,6.3,5.7,11.50
Controlling singlet–triplet splitting in carbazole–oxadiazole based bipolar phosphorescent host materials,ITO,MoO3,2.3,5.3,10,NPB,2.5,5.2,70,TCTA,2.4,5.7,5,,,,,75,2.82,o-3MPCzPOXD,2.09,5.66,2.73,10,FIr6,3.1,6.1,2.72,12,2.75,35,,,,,TmPyPB,2.73,6.68,35,LiF,3.5,1,Al,100,3,5.8,5.2,11.10
Correlation of the substitution position of diphenylphosphine oxide on phenylcarbazole and device performances of blue phosphorescent organic light-emitting diodes,ITO,DNTPD,2.1,5.2,60,NPB,2.5,5.2,20,mCP,2.4,5.9,10,,,,,30,3,PPO27,3,6.25,2.81,30,FIrpic,3,5.7,2.7,10,3.36,25,,,,,TSPO1,2.5,6.8,25,LiF,3.5,1,Al,100,3,23,20.3,32.00
Correlation of the substitution position of diphenylphosphine oxide on phenylcarbazole and device performances of blue phosphorescent organic light-emitting diodes,ITO,DNTPD,2.1,5.2,60,NPB,2.5,5.2,20,mCP,2.4,5.9,10,,,,,30,3,PPO36,2.77,6.31,3.01,30,FIrpic,3,5.7,2.7,10,3.36,25,,,,,TSPO1,2.5,6.8,25,LiF,3.5,1,Al,100,3.8,10.5,14.1,20.40
Correlation of the substitution position of diphenylphosphine oxide on phenylcarbazole and device performances of blue phosphorescent organic light-emitting diodes,ITO,DNTPD,2.1,5.2,60,NPB,2.5,5.2,20,mCP,2.4,5.9,10,,,,,30,3,PPO27,3,6.25,2.81,30,FCNIr,3,5.8,2.9,10,3.36,25,,,,,TSPO1,2.5,6.8,25,LiF,3.5,1,Al,100,3.5,8.7,13.5,12.00
Correlation of the substitution position of diphenylphosphine oxide on phenylcarbazole and device performances of blue phosphorescent organic light-emitting diodes,ITO,DNTPD,2.1,5.2,60,NPB,2.5,5.2,20,mCP,2.4,5.9,10,,,,,30,3,PPO36,2.77,6.31,3.01,30,FCNIr,3,5.8,2.9,10,3.36,25,,,,,TSPO1,2.5,6.8,25,LiF,3.5,1,Al,100,4,7,14.9,22.40
Deep-Blue Phosphorescent Ir(III) Complexes with Light-Harvesting Functional Moieties for Efficient Blue and White PhOLEDs in Solution-Process,ITO,PEDOT:PSS,3.3,5.2,30,TCTA,2.4,5.7,30,,,,,,,,,30,2.98,pBCb2Cz:mCPPO1,2.26,5.7,2.93,20,tBuCN-Firpic,3.12,5.85,2.77,10,3.36,25,,,,,TSPO1,2.5,6.8,25,LiF,3.5,1,Al,100,6.8,14.2,11.8,21.20
Deep-Blue Phosphorescent Ir(III) Complexes with Light-Harvesting Functional Moieties for Efficient Blue and White PhOLEDs in Solution-Process,ITO,PEDOT:PSS,3.3,5.2,30,TCTA,2.4,5.7,30,,,,,,,,,30,2.98,pBCb2Cz:mCPPO1,2.26,5.7,2.93,20,tBuCN-Firpic-mCP,3.16,5.96,2.77,10,3.36,25,,,,,TSPO1,2.5,6.8,25,LiF,3.5,1,Al,100,6.86,19.66,15.3,28.20
Design principles of carbazole/dibenzothiophene derivatives as host material in modern efficient organic light-emitting diodes,ITO,MoO3,2.3,5.3,3.5,TAPC,2,5.5,40,,,,,,,,,40,2.87,6,2.57,5.98,2.73,20,FIrpic,3,5.7,2.7,8,2.75,40,,,,,TmPyPB,2.73,6.68,40,Liq,2.8,2.5,Al,100,5.6,16.7,12.3,29.60
